,attrs,guid,region_id,region_name,region_parent_name,short_description,slug,title,url,fb_view_content_data.content_name,price_obj.value,price_obj.view
0,"[{'data_type': 'str', 'group_name': None, 'name': 'Condition', 'place_to_show': 1, 'unit': None, 'value': 'Foreign Used'}, {'data_type': 'str', 'group_name': None, 'name': 'Transmission', 'place_to_show': 1, 'unit': None, 'value': 'Automatic'}, {'data_type': 'int', 'group_name': None, 'name': 'Mileage', 'place_to_show': 1, 'unit': 'km', 'value': 72011}]",3JHsQOcKhGfcyza3v3P8eXJW,154,Isolo,Lagos State,2004 toyota highlander limited. tokunbo call for inspection. also available are lexus rx and toyota...,toyota-highlander-2007-limited-v6-4x4,Toyota Highlander 2007 Limited V6 4x4,/isolo/cars/toyota-highlander-2007-limited-v6-4x4-3JHsQOcKhGfcyza3v3P8eXJW.html?lid=cxqlCtNhoNmYEE3G&cur_pos=1&pos=1&ads_count=92266&ads_per_page=20&page=1,Toyota Highlander 2007 Limited V6 4x4,3950000,"₦ 3,950,000"
1,"[{'data_type': 'str', 'group_name': None, 'name': 'Condition', 'place_to_show': 1, 'unit': None, 'value': 'Foreign Used'}, {'data_type': 'str', 'group_name': None, 'name': 'Transmission', 'place_to_show': 1, 'unit': None, 'value': 'Automatic'}, {'data_type': 'int', 'group_name': None, 'name': 'Mileage', 'place_to_show': 1, 'unit': 'km', 'value': 75256}]",arwKLGv0E7GvWRpDEQyzLZJ,127,Apapa,Lagos State,A very clean Lexus RX 330 with navigation system power steering air conditioning c.d player spoiler...,lexus-rx-2006-330-white,Lexus RX 2006 330 White,/apapa/cars/lexus-rx-2006-330-white-arwKLGv0E7GvWRpDEQyzLZJ.html?lid=cxqlCtNhoNmYEE3G&cur_pos=2&pos=2&ads_count=92266&ads_per_page=20&page=1,Lexus RX 2006 330 White,5600000,"₦ 5,600,000"
2,"[{'data_type': 'str', 'group_name': None, 'name': 'Condition', 'place_to_show': 1, 'unit': None, 'value': 'Foreign Used'}, {'data_type': 'str', 'group_name': None, 'name': 'Transmission', 'place_to_show': 1, 'unit': None, 'value': 'Automatic'}, {'data_type': 'int', 'group_name': None, 'name': 'Mileage', 'place_to_show': 1, 'unit': 'km', 'value': 65247}]",nlywuIXnDKZ0WQF6tvF3psbR,127,Apapa,Lagos State,Toyotas corolla LE clean one full option. With navigation sistem powei steering air conditioning c.d...,toyota-corolla-2017-red,Toyota Corolla 2017 Red,/apapa/cars/toyota-corolla-2017-red-nlywuIXnDKZ0WQF6tvF3psbR.html?lid=cxqlCtNhoNmYEE3G&cur_pos=3&pos=3&ads_count=92266&ads_per_page=20&page=1,Toyota Corolla 2017 Red,8200000,"₦ 8,200,000"
3,"[{'data_type': 'str', 'group_name': None, 'name': 'Condition', 'place_to_show': 1, 'unit': None, 'value': 'Foreign Used'}, {'data_type': 'str', 'group_name': None, 'name': 'Transmission', 'place_to_show': 1, 'unit': None, 'value': 'Automatic'}]",xhyCJjVqy1jZzLFMDU5FBwFF,165,Ojodu,Lagos State,Lexus Rx330 black Colour Leather seat FM radio cd player DVD player reavers Camera full option...,lexus-rx-2005-black,Lexus RX 2005 Black,/ojodu/cars/lexus-rx-2005-black-xhyCJjVqy1jZzLFMDU5FBwFF.html?lid=cxqlCtNhoNmYEE3G&cur_pos=4&pos=4&ads_count=92266&ads_per_page=20&page=1,Lexus RX 2005 Black,5700000,"₦ 5,700,000"
4,"[{'data_type': 'str', 'group_name': None, 'name': 'Condition', 'place_to_show': 1, 'unit': None, 'value': 'Foreign Used'}, {'data_type': 'str', 'group_name': None, 'name': 'Transmission', 'place_to_show': 1, 'unit': None, 'value': 'Automatic'}, {'data_type': 'int', 'group_name': None, 'name': 'Mileage', 'place_to_show': 1, 'unit': 'km', 'value': 89369}]",7STJUoBl9ZWE2x4v9yuSGFBU,125,Amuwo-Odofin,Lagos State,Super clean 2012 RX350 upgraded to 2015 model full option buy and drive very very clean no single...,lexus-rx-2012-350-awd-gold,Lexus RX 2012 350 AWD Gold,/amuwo-odofin/cars/lexus-rx-2012-350-awd-gold-7STJUoBl9ZWE2x4v9yuSGFBU.html?lid=cxqlCtNhoNmYEE3G&cur_pos=5&pos=5&ads_count=92266&ads_per_page=20&page=1,Lexus RX 2012 350 AWD Gold,9900000,"₦ 9,900,000"
5,"[{'data_type': 'str', 'group_name': None, 'name': 'Condition', 'place_to_show': 1, 'unit': None, 'value': 'Foreign Used'}, {'data_type': 'str', 'group_name': None, 'name': 'Transmission', 'place_to_show': 1, 'unit': None, 'value': 'Automatic'}]",lgbJYwPFii4pdlUYBEdHXHE0,1237,Ogba,Lagos State,"Newly arrived Toks, Super clean, full option super chilled AC. Custom duty paid and verified. Front...",lexus-rx-2008-350-awd-black,Lexus RX 2008 350 AWD Black,/ogba/cars/lexus-rx-2008-350-awd-black-lgbJYwPFii4pdlUYBEdHXHE0.html?lid=cxqlCtNhoNmYEE3G&cur_pos=6&pos=6&ads_count=92266&ads_per_page=20&page=1,Lexus RX 2008 350 AWD Black,5600000,"₦ 5,600,000"
6,"[{'data_type': 'str', 'group_name': None, 'name': 'Condition', 'place_to_show': 1, 'unit': None, 'value': 'Nigerian Used'}, {'data_type': 'str', 'group_name': None, 'name': 'Transmission', 'place_to_show': 1, 'unit': None, 'value': 'Automatic'}]",un033qeQW9DbzjOGlYmRMZfA,137,Ajah,Lagos State,The engine is working but dous not have presure need to change the Engine,hyundai-sonata-2007-3-3-v6-gls-automatic-black,Hyundai Sonata 2007 3.3 V6 GLS Automatic Black,/ajah/cars/hyundai-sonata-2007-3-3-v6-gls-automatic-black-un033qeQW9DbzjOGlYmRMZfA.html?lid=cxqlCtNhoNmYEE3G&cur_pos=7&pos=7&ads_count=92266&ads_per_page=20&page=1,Hyundai Sonata 2007 3.3 V6 GLS Automatic Black,1000000,"₦ 1,000,000"
7,"[{'data_type': 'str', 'group_name': None, 'name': 'Condition', 'place_to_show': 1, 'unit': None, 'value': 'Foreign Used'}, {'data_type': 'str', 'group_name': None, 'name': 'Transmission', 'place_to_show': 1, 'unit': None, 'value': 'Automatic'}, {'data_type': 'int', 'group_name': None, 'name': 'Mileage', 'place_to_show': 1, 'unit': 'km', 'value': 99578}]",ij86kPrc3swXGbAtHxb0NsNc,1237,Ogba,Lagos State,"Extremely clean foreign used, fullest options, clean leather seats, good engine and gear",lexus-es-2009-350-black,Lexus ES 2009 350 Black,/ogba/cars/lexus-es-2009-350-black-ij86kPrc3swXGbAtHxb0NsNc.html?lid=cxqlCtNhoNmYEE3G&cur_pos=8&pos=8&ads_count=92266&ads_per_page=20&page=1,Lexus ES 2009 350 Black,4550000,"₦ 4,550,000"
8,"[{'data_type': 'str', 'group_name': None, 'name': 'Condition', 'place_to_show': 1, 'unit': None, 'value': 'Nigerian Used'}, {'data_type': 'str', 'group_name': None, 'name': 'Transmission', 'place_to_show': 1, 'unit': None, 'value': 'Automatic'}]",vayeW5eMa1DMgjYZHrXKHGQg,55,Osogbo,Osun State,"3 to 4 months used, 2008 model",toyota-matrix-2008-blue,Toyota Matrix 2008 Blue,/osogbo/cars/toyota-matrix-2008-blue-vayeW5eMa1DMgjYZHrXKHGQg.html?lid=cxqlCtNhoNmYEE3G&cur_pos=9&pos=9&ads_count=92266&ads_per_page=20&page=1,Toyota Matrix 2008 Blue,2800000,"₦ 2,800,000"
9,"[{'data_type': 'str', 'group_name': None, 'name': 'Condition', 'place_to_show': 1, 'unit': None, 'value': 'Foreign Used'}, {'data_type': 'str', 'group_name': None, 'name': 'Transmission', 'place_to_show': 1, 'unit': None, 'value': 'Automatic'}, {'data_type': 'int', 'group_name': None, 'name': 'Mileage', 'place_to_show': 1, 'unit': 'km', 'value': 78654}]",qesJODWt6ZuBdHkZDCBWvFiZ,353,Owerri,Imo State,"6 months used
Nothing to fix
BUY AND celebrate",lexus-rx-2010-red,Lexus RX 2010 Red,/owerri-municipal/cars/lexus-rx-2010-red-qesJODWt6ZuBdHkZDCBWvFiZ.html?lid=cxqlCtNhoNmYEE3G&cur_pos=10&pos=10&ads_count=92266&ads_per_page=20&page=1,Lexus RX 2010 Red,8000000,"₦ 8,000,000"
